k,ratio
3,0.5129091278599385
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5006335842235478
3,0.5
3,0.500038402855089
3,0.5
3,0.5
3,0.5
3,0.5012157116166188
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5084795020391207
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5168697028840763
3,0.5
3,0.5
3,0.503378291265802
3,0.5108093047899516
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.500440999141474
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5002116429126608
3,0.5001772641487566
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5006429294336482
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5000191280802223
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5031638196024449
3,0.5109983061797115
3,0.5
3,0.5
3,0.5
3,0.5174924007569003
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5083071751093194
3,0.5017926260732932
3,0.5
3,0.5037484573119807
3,0.5
3,0.5064118721536636
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
3,0.5
4,0.5
4,0.5
4,0.5152351335573786
4,0.5
4,0.5
4,0.5048586911287212
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.505798329032358
4,0.5
4,0.5
4,0.511841999918439
4,0.5
4,0.5077916234562005
4,0.5
4,0.5027966951227494
4,0.5112632873237843
4,0.5000567895478227
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5058954369077729
4,0.5
4,0.5
4,0.5
4,0.5009845524314451
4,0.5000187981613814
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5006245001611176
4,0.5174445819840222
4,0.5
4,0.5105934176349591
4,0.516959211292732
4,0.5
4,0.5032101026777822
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5002267880025801
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.519666833344338
4,0.5
4,0.5
4,0.5
4,0.5128895412967738
4,0.5
4,0.5
4,0.5
4,0.5014138599155639
4,0.5
4,0.5
4,0.5
4,0.5054186832407584
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5222798572326058
4,0.5
4,0.5
4,0.506763369472018
4,0.5
4,0.5
4,0.5
4,0.5010546929407236
4,0.5
4,0.5071654965894202
4,0.5
4,0.5055875157445914
4,0.5
4,0.5
4,0.5045266728567324
4,0.5
4,0.5
4,0.5
4,0.5092638866347099
4,0.5
4,0.5
4,0.5039165743308188
4,0.5
4,0.5
4,0.5267976195794003
4,0.5
4,0.5
4,0.5
4,0.500092702178431
4,0.5235199226916102
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5122155605561197
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
